tf.Tensor(-1.3933024, shape=(), dtype=float32)
tf.Tensor(-2.1530218, shape=(), dtype=float32)
tf.Tensor(-2.1271412, shape=(), dtype=float32)
tf.Tensor(-2.124266, shape=(), dtype=float32)
tf.Tensor(-2.127199, shape=(), dtype=float32)
tf.Tensor(-1.995477, shape=(), dtype=float32)
tf.Tensor(-1.2434027, shape=(), dtype=float32)
tf.Tensor(-2.177503, shape=(), dtype=float32)
tf.Tensor(-1.8416548, shape=(), dtype=float32)
tf.Tensor(-0.8783194, shape=(), dtype=float32)
tf.Tensor(-1.2836076, shape=(), dtype=float32)
tf.Tensor(-0.500416, shape=(), dtype=float32)
tf.Tensor(-2.1044314, shape=(), dtype=float32)
tf.Tensor(-0.9431147, shape=(), dtype=float32)
tf.Tensor(-2.138288, shape=(), dtype=float32)
tf.Tensor(-1.288347, shape=(), dtype=float32)
tf.Tensor(-1.4718719, shape=(), dtype=float32)
tf.Tensor(-1.7503068, shape=(), dtype=float32)
tf.Tensor(-1.7983363, shape=(), dtype=float32)
tf.Tensor(-1.9561998, shape=(), dtype=float32)
tf.Tensor(-1.728003, shape=(), dtype=float32)
tf.Tensor(-2.0626326, shape=(), dtype=float32)
tf.Tensor(-1.9007874, shape=(), dtype=float32)
tf.Tensor(-0.7394502, shape=(), dtype=float32)
tf.Tensor(-1.7453996, shape=(), dtype=float32)
tf.Tensor(-1.8402729, shape=(), dtype=float32)
tf.Tensor(-1.450003, shape=(), dtype=float32)
tf.Tensor(-1.8552928, shape=(), dtype=float32)
tf.Tensor(-2.1468544, shape=(), dtype=float32)
tf.Tensor(-1.7473592, shape=(), dtype=float32)
tf.Tensor(-1.7815561, shape=(), dtype=float32)
tf.Tensor(-2.0373788, shape=(), dtype=float32)
tf.Tensor(-1.8738813, shape=(), dtype=float32)
tf.Tensor(-2.0542006, shape=(), dtype=float32)
tf.Tensor(-1.5423568, shape=(), dtype=float32)
tf.Tensor(-1.9863374, shape=(), dtype=float32)
tf.Tensor(-1.0692616, shape=(), dtype=float32)
tf.Tensor(-1.9452622, shape=(), dtype=float32)
tf.Tensor(-2.0967717, shape=(), dtype=float32)
tf.Tensor(-2.065962, shape=(), dtype=float32)
tf.Tensor(-2.1142411, shape=(), dtype=float32)
tf.Tensor(-1.8301141, shape=(), dtype=float32)
tf.Tensor(-1.9396794, shape=(), dtype=float32)
tf.Tensor(-2.212873, shape=(), dtype=float32)
tf.Tensor(-2.1077528, shape=(), dtype=float32)
tf.Tensor(-1.7793708, shape=(), dtype=float32)
tf.Tensor(-1.5794519, shape=(), dtype=float32)
tf.Tensor(-2.1965537, shape=(), dtype=float32)
tf.Tensor(-2.1991117, shape=(), dtype=float32)
tf.Tensor(-1.9618042, shape=(), dtype=float32)
tf.Tensor(-2.1168756, shape=(), dtype=float32)
tf.Tensor(-2.1336622, shape=(), dtype=float32)
tf.Tensor(-2.1971998, shape=(), dtype=float32)
tf.Tensor(-1.900582, shape=(), dtype=float32)
tf.Tensor(-2.217498, shape=(), dtype=float32)
tf.Tensor(-2.1405752, shape=(), dtype=float32)
tf.Tensor(-2.1783504, shape=(), dtype=float32)
tf.Tensor(-0.9487516, shape=(), dtype=float32)
tf.Tensor(-2.1439571, shape=(), dtype=float32)
tf.Tensor(-2.131915, shape=(), dtype=float32)
tf.Tensor(-2.0530224, shape=(), dtype=float32)
tf.Tensor(-1.9998691, shape=(), dtype=float32)
tf.Tensor(-2.0743163, shape=(), dtype=float32)
tf.Tensor(-1.9898801, shape=(), dtype=float32)
tf.Tensor(-2.0403585, shape=(), dtype=float32)
tf.Tensor(-2.0940816, shape=(), dtype=float32)
tf.Tensor(-1.343272, shape=(), dtype=float32)
tf.Tensor(-1.9363179, shape=(), dtype=float32)
tf.Tensor(-2.1489525, shape=(), dtype=float32)
tf.Tensor(-1.3830495, shape=(), dtype=float32)
tf.Tensor(-2.051281, shape=(), dtype=float32)
tf.Tensor(-2.0161943, shape=(), dtype=float32)
tf.Tensor(-2.16326, shape=(), dtype=float32)
tf.Tensor(-2.124579, shape=(), dtype=float32)
tf.Tensor(-1.9427116, shape=(), dtype=float32)
tf.Tensor(-1.9586179, shape=(), dtype=float32)
tf.Tensor(-2.1987083, shape=(), dtype=float32)
tf.Tensor(-2.1889763, shape=(), dtype=float32)
tf.Tensor(-2.0879931, shape=(), dtype=float32)
tf.Tensor(-1.9216626, shape=(), dtype=float32)
tf.Tensor(-2.1106353, shape=(), dtype=float32)
tf.Tensor(-1.8629484, shape=(), dtype=float32)
